id	filename	md5	size	state
0051d081-c264-4d60-b4fd-a203ef7ef087	183b24a1-dc9a-4078-bf01-4633823704d0.mirbase21.mirnas.quantification.txt	e320da76e61fd649cef6e45399fff0da	50275	validated
05352d5f-6570-4926-8c20-2c14751c3f2d	0d0cb174-ebde-4b75-b2fb-48a1b47f3c96.mirbase21.mirnas.quantification.txt	5bb59455a209117dd7397404b21cd879	50233	validated
0759b027-a95e-4679-9262-cd32edbc9490	65cbd9ab-00e2-4d33-8e95-3f28fe202230.mirbase21.mirnas.quantification.txt	3b15a993f76a53d39d6c5f2db0a2bcb9	50411	validated
07ff7aa3-a3be-44c0-89d8-c67a0dedcc72	e496cc70-7510-41d9-9f9b-d054ff7332dc.mirbase21.mirnas.quantification.txt	c6f256038f438cad1250fc4d2321371e	50239	validated
0d0092fd-33be-4e11-93e8-42f353fbb8d1	c4522fee-64e6-41c1-9079-98bb14c7ebbb.mirbase21.mirnas.quantification.txt	a8ea0a8435892d000392403a6050a15a	50139	validated
0d11e213-5ddf-4d0a-9987-f9d0a3056f3a	77ae449d-5c8a-49f7-a1c7-aea75de69a5d.mirbase21.mirnas.quantification.txt	557809bc71ec2cc8a5b6fe6306b354c5	50121	validated
0d8cc2b6-69bc-446c-82b3-9367cf14be7f	f59bd4e6-c154-4509-be7c-0aec2fb61875.mirbase21.mirnas.quantification.txt	3ca510f2a08dabe863b4f5f19ceacc28	50136	validated
0db85fe0-94d6-4b8d-bff4-d69aea8a0806	7e26df57-482c-4bd6-bd8c-4ecd4dea8788.mirbase21.mirnas.quantification.txt	2bf22f8aee8aa51d0282afa7d05f1cb4	50171	validated
0df5c188-00ed-4407-9057-5d97df62e6f2	3ffcb415-e185-47b4-8cab-b06c4206845e.mirbase21.mirnas.quantification.txt	a258909581c09e2e26ff3b79b742cd40	50274	validated
0f2d2670-8b6b-43b7-a82a-8cf0c6ba7a77	d30ca62b-ad24-49dd-be75-9b510fc57bd9.mirbase21.mirnas.quantification.txt	b41038350a4f6dbde788c509617d1ff0	50287	validated
0fe319f2-7a4f-4732-a488-f96c9db8a0dd	b713d673-b8a4-443c-b569-55a3c343b0f3.mirbase21.mirnas.quantification.txt	e264fe64d952b50be8d7e879072ddd46	50017	validated
12820cd4-1a8d-4cdf-b47a-b31c926ab7e1	acc69d43-989d-4ee9-a767-9470c099ad78.mirbase21.mirnas.quantification.txt	0925b11270684da11aab6ebc6751353b	50001	validated
16900217-2566-44d5-ab69-da58011b9f8a	44022d72-6b45-4ad5-85c5-927df181405d.mirbase21.mirnas.quantification.txt	5127143f2e76b94636b33c30d977a35d	50217	validated
17b9f0f0-b59b-4fd1-bf48-80d319ee27ff	774aebfe-dbba-49c4-9343-0bf4f4933e73.mirbase21.mirnas.quantification.txt	7d81d329f72d8d92a4a856b39dd84f0d	50332	validated
18ed43a1-e364-4a61-83c7-4d62392e0aa0	a6641781-4674-4068-a561-fb1be192eac0.mirbase21.mirnas.quantification.txt	b00366144a8e33672a051e2cc6be39d8	50378	validated
19685baf-1d13-459b-9024-f5452054a6e7	bdbef11e-3900-4bb9-b23e-d90303c82418.mirbase21.mirnas.quantification.txt	c2677a555dd5ebfab75851e772d91ce7	50361	validated
1cbd6458-7371-4a79-b4a9-e32894d0fa32	24ad66d9-8c55-424f-a62e-05ce0e745116.mirbase21.mirnas.quantification.txt	f353d72bb1494e15c2843fef92ebe8b7	50163	validated
1e325442-a40b-4f63-861a-ea4083cf7099	36fbbc31-27f4-46da-aaf3-5acde446e648.mirbase21.mirnas.quantification.txt	df03aff0a7761fb6e51c7196a6afe0a2	50265	validated
2036698c-6928-49d5-b536-d5ba34d319e6	b76eea33-d9ec-4265-a346-6d8dc037882a.mirbase21.mirnas.quantification.txt	80860e5f41b45b9e4056a486c6877e97	50329	validated
2184f692-a3ba-45c3-baf4-734fd4332f35	7338f263-0842-4c79-9363-84a67a8e5a1a.mirbase21.mirnas.quantification.txt	6745dbc94cee3bed6349493a3f0f4a60	50247	validated
23bf746a-797a-47f5-afd1-76ff723d942e	6f8eb16a-a2f9-4362-9fdc-6f303e7b51f8.mirbase21.mirnas.quantification.txt	68b1a6f07d41bda3c94c68d7b819e3c5	50414	validated
25887338-b88d-4b8a-90a5-4b268fed148f	4b694316-e8be-4dad-962f-a0f1b063ac9b.mirbase21.mirnas.quantification.txt	00f4306d31023fdeb8f52c618977e28a	50135	validated
25bc9363-e25e-4b4a-9d57-a70b867716b1	e7a00fda-0d05-468f-b6a0-18653e961da7.mirbase21.mirnas.quantification.txt	06564e7ed66d0e9c568157be42cc480c	50130	validated
260c1dd7-d6f8-4337-9bba-5de192fc5af3	b9ae9879-7540-45b0-ad92-7a49e8d338dd.mirbase21.mirnas.quantification.txt	f3431e54487f52874567a9bc029a8f72	49953	validated
262e5aa4-6892-4d82-9cee-99be4b6232bc	75114e6a-dd8c-490c-99c0-a8adfb45eedf.mirbase21.mirnas.quantification.txt	22362f2b674e8fbd83a1d0aeb339aecf	50093	validated
28bfa617-bafe-40fe-ae7b-fca66584b7cf	d7b87911-9d07-4f76-b450-d7b0896b675c.mirbase21.mirnas.quantification.txt	58c0cb4fed8226ab7137afef6b227eca	50394	validated
28c996b2-5e2d-4a48-a4e0-dd910f8599ab	a433ddc2-90cd-4442-9342-24b820a13332.mirbase21.mirnas.quantification.txt	b0b6f801a80350371c5a678c96a28c58	50118	validated
296936b9-d038-44f8-bebc-ed5b7c4b2c38	0cf6e812-a0dc-411b-96b2-92ad36bb00d9.mirbase21.mirnas.quantification.txt	4a82e2008ff0085f89144adf99d9a551	50279	validated
